team_name,long_name
Mirandés,Joseba Andoni Etxeberria Lizardi
CD Mirandés,Joseba Andoni Etxeberria Lizardi
SSC Farul,Gheorghe Hagi
Valenciennes,Nicolas Rabuel
Valenciennes FC,Nicolas Rabuel
Incheon United,Sung-Hwan Cho
Incheon United FC,Sung-Hwan Cho
Villarreal II,Miguel Álvarez Jurado
The Strongest,Antonio Mur
Barcelona Guayaquil,Fabián Daniel Bustos
Real Salt Lake,Pablo Andrés Mastroeni
Piast Gliwice,Aleksandar Vukovic
Lechia Gdańsk,Marcin Kaczmarek
Ingolstadt,Rüdiger Rehm
FC Ingolstadt 04,Rüdiger Rehm
Liverpool,Jorge Rodrigo Bava
Sydney,Steve Corica
Sydney FC,Steve Corica
Beijing Guoan,Stanley Purl Menzo
Beijing Guoan FC,Stanley Purl Menzo
Wolfsberger AC,Robin Dutt
RZ Pellets Wolfsberger AC,Robin Dutt
SJ Earthquakes,Alex Covelo
San Jose Earthquakes,Alex Covelo
Cittadella,Edoardo Gorini
Al Raed,Marius Ninel Şumudică
Al Wahda,Bruno Akrapović
Al Wehda,Bruno Akrapović
Western Sydney Wanderers,Marko Ante Rudan
Südtirol,Pierpaolo Bisoli
La Equidad,Alexis Enrique García Vega
Suwon,Do-Kyun Kim
Suwon FC,Do-Kyun Kim
Everton,Francisco Meneghini
CD Everton de Viña del Mar,Francisco Meneghini
New York City,Nick Cushing
New York City FC,Nick Cushing
Central Cordoba SdE,Leonardo Carol Madelón
Arsenal de Sarandi,Leonardo Carol Madelón
Arsenal de Sarandí,Leonardo Carol Madelón
Barracas Central,Rodolfo De Paoli
Abha,Matheus Joseph
Abha Club,Matheus Joseph
Sepsi,Cristiano Bergodi
Sepsi OSK Sf. Gheorghe,Cristiano Bergodi
Western United,John Aloisi
Western United FC,John Aloisi
FC Andorra,Eder Sarabia Armesto
Bolton Wanderers,Ian Ross Evatt
Motherwell,Steven Hammell
Charlton Athletic,Ben Garner
Shrewsbury Town,Steve Cotterill
Górnik Zabrze,Bartosch Gaul
Erzgebirge Aue,Carsten Müller
FC Volendam,Wim Jonk
Hammarby,Martí Cifuentes Corvillo
Hammarby IF,Martí Cifuentes Corvillo
Ried,Christian Heinle
SV Ried,Christian Heinle
Viborg,Jacob Friis
Viborg FF,Jacob Friis
Wisła Płock,Pavol Stano
Austria Klagenfurt,Peter Pacult
Portsmouth,Danny Cowley
Barnsley,Michael Duff
Oxford United,Karl Robinson
Excelsior,Marinus Dijkhuizen
Wattens,Thomas Silberberger
WSG Tirol,Thomas Silberberger
St. Johnstone,Callum Davidson
St. Johnstone FC,Callum Davidson
Pau,Didier Tholot
Patronato,Facundo Sava
Viktoria Köln,Olaf Janßen
Jagiellonia Białystok,Maciej Stolarczyk
Cracovia Kraków,Jacek Zielinski
Cracovia,Jacek Zielinski
Zagłębie Lubin,Waldemar Fornalik
